id;conversation_id;created_at;date;time;timezone;user_id;username;name;place;tweet;language;mentions;urls;photos;replies_count;retweets_count;likes_count;hashtags;cashtags;link;retweet;quote_url;video;thumbnail;near;geo;source;user_rt_id;user_rt;retweet_id;reply_to;retweet_date;translate;trans_src;trans_dest
1,59831E+18;1,59831E+18;2022-12-01 13:27:24 UTC;01/12/2022;13:27:24;0;51124892;espnbrasil;ESPN Brasil;;?? PREOCUPA    Exame aponta sobrecarga muscular, e Dí Maria vira dúvida na Argentina para as oitavas da Copa do Mundo  #FutebolNaESPN  #ESPNnoQatar    https://t.co/bfBVdl8cBo;pt;[];['https://buff.ly/3Fk4A7m'];[];2;0;19;['futebolnaespn', 'espnnoqatar'];[];https://twitter.com/ESPNBrasil/status/1598307781882298370;FALSO;;0;;;;;;;;[];;;;
1,5983E+18;1,5983E+18;2022-12-01 13:16:14 UTC;01/12/2022;13:16:14;0;51124892;espnbrasil;ESPN Brasil;;Pediu para Fifa dar gol de Bruno Fernandes a Cristiano Ronaldo na Copa? Técnico de Portugal cai na gargalhada e dá resposta hilária    https://t.co/5CmGdh2UDh   #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus;pt;[];['https://www.espn.com.br/futebol/copa-do-mundo/artigo/_/id/11309187/pediu-fifa-dar-gol-cristiano-ronaldo-copa-tecnico-portugal-cai-gargalhada-da-resposta-hilaria'];[];0;0;4;['futebolnaespn', 'espnnoqatar', 'espnnostarplus'];[];https://twitter.com/ESPNBrasil/status/1598304967718313984;FALSO;;0;;;;;;;;[];;;;
1,5983E+18;1,5983E+18;2022-12-01 13:00:01 UTC;01/12/2022;13:00:01;0;51124892;espnbrasil;ESPN Brasil;;Com contrato milionário com CBF, WhatsApp ajuda no dia a dia da seleção brasileira e tem 'missão' na Copa  #ESPNnoQatar #FutebolNaESPN   https://t.co/IOSFnIabJc;pt;[];['https://es.pn/3OOxJdV'];[];0;0;7;['espnnoqatar', 'futebolnaespn'];[];https://twitter.com/ESPNBrasil/status/1598300888367439873;FALSO;;0;;;;;;;;[];;;;
1,5983E+18;1,5983E+18;2022-12-01 12:58:37 UTC;01/12/2022;12:58:37;0;51124892;espnbrasil;ESPN Brasil;;Sou brasileiro e vou ganhar a Copa do Qatar' ????  #ESPNnoQatar #FutebolNaESPN #ESPNnoStarPlus   https://t.co/3ywKwFTrZn;pt;[];['https://buff.ly/3FhykkW'];[];3;0;10;['espnnoqatar', 'futebolnaespn', 'espnnostarplus'];[];https://twitter.com/ESPNBrasil/status/1598300535681163265;FALSO;;0;;;;;;;;[];;;;
1,5983E+18;1,5983E+18;2022-12-01 12:51:00 UTC;01/12/2022;12:51:00;0;51124892;espnbrasil;ESPN Brasil;;"Messi ou CR7 e Vini Jr. entre 'mais difíceis': estrela do Chelsea que ficou fora da Copa rouba a cena e responde 'tudo' nas redes; veja   #FutebolNaESPN #PremierLeagueNaESPN   https://t.co/OHIKUVPoq5";pt;[];['https://buff.ly/3FiC4mo'];[];0;0;12;['futebolnaespn', 'premierleaguenaespn'];[];https://twitter.com/ESPNBrasil/status/1598298621274984449;FALSO;;0;;;;;;;;[];;;;
1,5983E+18;1,5983E+18;2022-12-01 12:42:07 UTC;01/12/2022;12:42:07;0;51124892;espnbrasil;ESPN Brasil;;Por que Arrascaeta jogou só 28 minutos na Copa do Mundo? Técnico do Uruguai responde    https://t.co/et3aJgCzQl   #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus;pt;[];['https://www.espn.com.br/futebol/copa-do-mundo/artigo/_/id/11309058/por-que-arrascaeta-jogou-so-28-minutos-copa-do-mundo-tecnico-uruguai-responde'];[];2;0;14;['futebolnaespn', 'espnnoqatar', 'espnnostarplus'];[];https://twitter.com/ESPNBrasil/status/1598296384398147585;FALSO;;0;;;;;;;;[];;;;
1,59829E+18;1,59829E+18;2022-12-01 12:30:01 UTC;01/12/2022;12:30:01;0;51124892;espnbrasil;ESPN Brasil;;Por que craque de Guardiola virou pivô de polêmica nos bastidores da Bélgica ameaçada de eliminação na Copa  #ESPNnoQatar #FutebolNaESPN   https://t.co/NxJ1fzLGPG;pt;[];['https://www.espn.com.br/futebol/copa-do-mundo/artigo/_/id/11300315/por-que-craque-guardiola-virou-pivo-polemica-bastidores-belgica-ameacada-eliminacao-copa'];[];0;0;12;['espnnoqatar', 'futebolnaespn'];[];https://twitter.com/ESPNBrasil/status/1598293337470967811;FALSO;;0;;;;;;;;[];;;;
1,59829E+18;1,59829E+18;2022-12-01 12:11:19 UTC;01/12/2022;12:11:19;0;51124892;espnbrasil;ESPN Brasil;;Craque da Copa do Mundo confirma interesse de gigante brasileiro e diz o que respondeu   ??  https://t.co/FMzj4QW29o  https://t.co/BpVu0ivtTE;pt;[];['http://bit.ly/3gSJwv8'];['https://pbs.twimg.com/media/Fi5DAL8XoAA9vi_.png'];0;1;14;[];[];https://twitter.com/ESPNBrasil/status/1598288634939322368;FALSO;;1;https://pbs.twimg.com/media/Fi5DAL8XoAA9vi_.png;;;;;;;[];;;;
1,59829E+18;1,59829E+18;2022-12-01 12:09:00 UTC;01/12/2022;12:09:00;0;51124892;espnbrasil;ESPN Brasil;;Como 'clubinho de seleções' da Europa ajuda a explicar o fracasso da Dinamarca na Copa do Mundo  #ESPNnoQatar #FutebolNaESPN   https://t.co/LW43wvGx7Q;pt;[];['https://www.espn.com.br/futebol/copa-do-mundo/artigo/_/id/11307951/como-clubinho-de-selecoes-da-europa-ajuda-a-explicar-o-fracasso-da-dinamarca-na-copa-do-mundo'];[];1;0;22;['espnnoqatar', 'futebolnaespn'];[];https://twitter.com/ESPNBrasil/status/1598288048814493697;FALSO;;0;;;;;;;;[];;;;
1,59829E+18;1,59829E+18;2022-12-01 12:05:00 UTC;01/12/2022;12:05:00;0;51124892;espnbrasil;ESPN Brasil;;??#ResenhaESPN com direito a convidado titular de seleção? Temos! Hoje, às 19h30, @plihalespn estará em uma roda de conversa com Elzo, meio-campista que atuou pelo Brasil na Copa do Mundo de 1986. NÃO PERCA!  Assista AO VIVO pela #ESPNnoStarPlus! Acesse:  https://t.co/yJbSbCT8RH  https://t.co/tUr5fRTU6S;pt;[{'screen_name': 'plihalespn', 'name': 'andré plihal', 'id': '59157475'}];['http://dis.la/ResenhaPlaylist_BR'];['https://pbs.twimg.com/media/FizxRYyXwAEdl6A.jpg'];1;1;7;['resenhaespn', 'espnnostarplus'];[];https://twitter.com/ESPNBrasil/status/1598287042575753217;FALSO;;1;https://pbs.twimg.com/media/FizxRYyXwAEdl6A.jpg;;;;;;;[];;;;
1,59828E+18;1,59828E+18;2022-12-01 11:55:25 UTC;01/12/2022;11:55:25;0;51124892;espnbrasil;ESPN Brasil;;Aguero e Crespo elogiam 'herdeiro da 9' da Argentina e contam como ex-dupla do River resolveu na Copa  #ESPNnoQatar #FutebolNaESPN   https://t.co/Ymj4qQD7LO;pt;[];['https://www.espn.com.br/video/clip/_/id/11308714'];[];0;0;14;['espnnoqatar', 'futebolnaespn'];[];https://twitter.com/ESPNBrasil/status/1598284630083473410;FALSO;;0;;;;;;;;[];;;;
1,59828E+18;1,59828E+18;2022-12-01 11:54:01 UTC;01/12/2022;11:54:01;0;51124892;espnbrasil;ESPN Brasil;;Crespo e Aguero listam favoritas à Copa do Mundo depois da fase de grupos: 'Brasil, França, e o resto...'   #ESPNnoQatar #FutebolNaESPN   https://t.co/P0JorA2AV8;pt;[];['https://www.espn.com.br/video/clip/_/id/11308699'];[];0;1;21;['espnnoqatar', 'futebolnaespn'];[];https://twitter.com/ESPNBrasil/status/1598284279922003969;FALSO;;0;;;;;;;;[];;;;
1,59828E+18;1,59828E+18;2022-12-01 11:33:00 UTC;01/12/2022;11:33:00;0;51124892;espnbrasil;ESPN Brasil;;Até hoje não sei como ele não teve muita chance no Real Madrid': conheça o craque do PSG que emocionou na cena mais bonita da Copa até agora  #ESPNnoQatar #FutebolNaESPN   https://t.co/6bsw5Bvs92;pt;[];['https://www.espn.com.br/futebol/copa-do-mundo/artigo/_/id/11299913/ate-hoje-nao-sei-como-ele-nao-teve-muita-chance-no-real-madrid-conheca-o-craque-do-psg-que-emocionou-na-cena-mais-bonita-da-copa-ate-agora'];[];2;2;51;['espnnoqatar', 'futebolnaespn'];[];https://twitter.com/ESPNBrasil/status/1598278989138665472;FALSO;;0;;;;;;;;[];;;;
1,59827E+18;1,59827E+18;2022-12-01 11:15:00 UTC;01/12/2022;11:15:00;0;51124892;espnbrasil;ESPN Brasil;;O duelo de maestros! Modric e De Bruyne são os destaques do confronto entre Croácia e Bélgica pela Copa do Mundo  #ESPNnoQatar #FutebolNaESPN   https://t.co/ZsZxOJeUvc;pt;[];['https://www.espn.com.br/video/clip/_/id/11304885'];[];0;0;15;['espnnoqatar', 'futebolnaespn'];[];https://twitter.com/ESPNBrasil/status/1598274459349065728;FALSO;;0;;;;;;;;[];;;;
1,59827E+18;1,59827E+18;2022-12-01 11:08:00 UTC;01/12/2022;11:08:00;0;51124892;espnbrasil;ESPN Brasil;;Final da Copa do Mundo, volta da Premier League e a NBA no Natal: os presentes de dezembro no mundo dos esportes pela ESPN no Star+  #ESPNnoStarPlus   https://t.co/VHN8N033xF;pt;[];['https://www.espn.com.br/espnnostar+/artigo/_/id/11294479/final-copa-do-mundo-volta-premier-league-e-nba-no-natal-os-presentes-dezembro-no-mundo-dos-esportes-pela-espn-no-star+'];[];0;0;8;['espnnostarplus'];[];https://twitter.com/ESPNBrasil/status/1598272697670180865;FALSO;;0;;;;;;;;[];;;;
