,tweet,username,palavra_chave,classificação
449,COMEEEEÇA O SEGUNDO TEMPO!  Argentina x México AO VIVO: Siga TUDO da Copa do Mundo em tempo real #ESPNnoQatar #FutebolNaESPN    https://t.co/yUPAoXzRVA,espnbrasil,copa,
215,"Walter Casagrande Jr.: Após dois jogos, Espanha e França são as minhas seleções favoritas na Copa  https://t.co/H2Kif3OH6x",uolesporte,catar,
58,"NÃO TEM COMO NÃO SE EMOCIONAR  Em uma partida de mata-mata na fase de grupos, Senegal derrota o Equador e segue vivo na Copa do Mundo.   #lanceCOPA #CopaDoMundoFIFA #Qatar2022  📷Manan Vatsyayana / AFP 📷Raul Arboleda / AFP 📷Ozan Kose / AFP 📷Jung Yeon-je / AFP  https://t.co/cGIm9K6kJg",lancenet,copa,
145,"🇶🇦  JÁ ELIMINADO   O Qatar vai para o jogo tentando encerrar a sua participação na Copa com ao menos uma vitória. Somando duas derrotas até aqui, a anfitriã já está eliminada da competição.   #UOLNaCopa2022",uolesporte,catar,
172,Casimiro bomba na Copa do Qatar e vira dor de cabeça para a Globo #FIFAWorldCup #Qatar2022  https://t.co/POY6TJWOIV,uolesporte,catar,
225,Meia da Costa Rica mantém esperança de classificação às oitavas da Copa  https://t.co/Uf4ZaTzUbp,lancenet,copa,
152,Modelo croata faz sucesso com visual na Copa do Qatar; escolha o melhor #FIFAWorldCup #Qatar2022  https://t.co/VTTZ4vXkxM,uolesporte,catar,
3,"Até 2026, Ochoa! 🇲🇽👋  📸: AFP  #Lancecopa #Qatar #copadomundo  https://t.co/yr0vGHXQd5",lancenet,qatar,
427,"Na Copa do Mundo da música, tem para todos os gostos! 🙃  Qual é o seu preferido? 🎤🎧💃🕺   https://t.co/gDhmQ7brEJ   #ESPNnoQatar #ESPNnoStarPlus #FutebolNaESPN  https://t.co/rRvgn4V5KX",espnbrasil,copa,
47,"QUE NÚMEROS! 🏴󠁧󠁢󠁥󠁮󠁧󠁿⚽  Que Harry Kane brilha em Copa do Mundo não é novidade, mas nesta edição o homem virou GARÇOM.  Já são 3 assistências em 3 jogos. Fez a diferença? 🏆🌍  #harrykane #inglaterra #copadomundo #lanceCOPA #worldcup  https://t.co/teuzKAWbJK",lancenet,copa,
212,"Mais jovem da Copa, promessa da Alemanha coleciona recordes e pode encostar até em Pelé no Qatar; VEJA!  #ESPNnoQatar #FutebolNaESPN    https://t.co/KgvoLfdbfD",espnbrasil,qatar,
349,"Richarlison foi 'O CARA' da vitória de ontem?  Confira o comentário de @OliveiraRafa sobre os protagonistas da vitória da Seleção Brasileira na estreia da Copa do Mundo!  E claro, deixe aqui seu comentário. Concorda com o Rafa?  #UOLNaCopa2022  https://t.co/RQkAjB0CDD",uolesporte,catar,
470,Qual o segredo do ar-condicionado do estádio da estreia do Brasil na Copa #FIFAWorldCup #Qatar2022  https://t.co/iwgpxjozWH,uolesporte,catar,
37,MARROCOS AMPLIA!   Canadá x Marrocos AO VIVO: Siga TUDO da Copa do Mundo no Qatar em TEMPO REAL   #FutebolNaESPN #ESPNnoQatar   https://t.co/JNVfRkB894,espnbrasil,qatar,
408,Neymar vira jogador que mais sofreu faltas na 1ª rodada da Copa; veja lista #FIFAWorldCup #Qatar2022  https://t.co/N0hkoRAJed,uolesporte,catar,
391,Kramaric dá show em virada da Croácia diante do Canadá na Copa do Mundo   #ESPNNoQatar #FutebolNaESPN #ESPNnoStarPlus     https://t.co/jSgKZdKPOX,espnbrasil,copa,
378,"😀 SEXTOU COM COPA  É sexta-feira e a Copa do Mundo segue a todo vapor no Qatar. Se liga na agenda do dia, que conta com quatro partidas - destaque para Holanda e Inglaterra em campo às 13h00 e às 16h00, respectivamente!  E aí, quem vence hoje?   #UOLNaCopa2022 #Qatar2022  https://t.co/sJTCoFOnBr",uolesporte,catar,
162,Copa do equilíbrio chega à última rodada com só dois times eliminados #FIFAWorldCup #Qatar2022  https://t.co/wmHNEqvBVW,uolesporte,catar,
257,"Thiago Silva, zagueiro de 38 anos, se tornou o jogador mais velho a entrar em campo pela seleção brasileira em partidas de Copa do Mundo  🇧🇷 x 🇷🇸  #genacopa  https://t.co/FQs6ftTKXq",geglobo,copa,
103,"🤔 CURIOSIDADE  Inglaterra e País de Gales se enfrentaram nesta terça (29) na Copa do Mundo, pelo grupo B, em partida que terminou em 3 a 0 para os ingleses.   E a grande questão é: por que esses países não jogam como Reino Unido se ambos são do Reino Unido?   #UOLNaCopa2022  https://t.co/2Hb09TzKUb",uolesporte,catar,
142,"Futebol no Mundo #166 - Dia 6: Neymar e Danilo fora, Inglaterra encaminha classificação e Qatar eliminado com @alex_tseng, @gustavohofman e @gianoddi!  👉  https://t.co/WXVjJgSKPZ   #ESPNnoQatar  https://t.co/c8yqJIMXOF",espnbrasil,qatar,
16,"FORA DA COPA DO MUNDO!   Salah, Ibra e mais: veja astros do futebol mundial que assistirão à Copa do Catar 'pela TV'   #FutebolNaESPN   https://t.co/IwzW6st8t8",espnbrasil,catar,
422,'Rua da Copa' no RJ sofre com disputas e não terá jogos após quase 50 anos #FIFAWorldCup #Qatar2022  https://t.co/Vh4HQFr0E2,uolesporte,catar,
240,ESSA COSTA RICA DE 2014 ERA BRABA DEMAIS! 👏👏👏🇨🇷⚽️🏆  Costa Rica na Copa Mundo: relembre a campanha de 2014 e veja os jogadores remanescentes  📲 Veja:  https://t.co/yNOEcZw2tT  https://t.co/Z13RmkSJas,lancenet,copa,
218,"""Seria melhor pegar a Espanha do que a Alemanha nas quartas"".   O Brasil pode pegar um desses dois gigantes nas quartas da Copa, em caso de classificação, e a @millylacombe acha que os alemães trariam mais problemas aos brasileiros.   Concordam?  #UOLNaCopa2022 #PosseDeBolaUOL  https://t.co/DHUeA0uyg8",uolesporte,catar,
186,Vini Jr homenageia Neymar em comemoração de gol anulado na Copa #FIFAWorldCup #Qatar2022  https://t.co/b3EQ49qbcu,uolesporte,catar,
65,Pedro Ivo aponta fator que o 'preocupa' em relação aos bastidores da seleção brasileira no Qatar: 'Assusta'  #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus    https://t.co/45c4EJnZRE,espnbrasil,qatar,
170,"Você conhecia o Füllkrug?  Decisivo pela Alemanha contra a Espanha, atacante estava na segunda divisão e quase ficou fora da Copa #genacopa  https://t.co/pv8RrzoQSB",geglobo,copa,
89,"DEFESA SEGURA! ⚽👀🏆  Além do Brasil, apenas a Polônia e o Uruguai ainda não sofreram gols.  E você? Gostaria de assistir a Copa de camarote como o Alisson? 🤔🇧🇷  #brasil #alisson #zagueiros #copadomundo #MostraTuaForça  https://t.co/cUFOmZeAHj",lancenet,copa,
170,"Diego Garcia: Enquanto bolsonaristas tomam chuva, Eduardo Bolsonaro curte a Copa no Qatar  https://t.co/BRYOiMpPru",uolesporte,catar,
143,"Direto do Qatar, torcedores mexicanos comentaram sobre o desempenho de Dani Alves no Pumas e disseram se o brasileiro mereceu ou não a vaga na Copa.   #ESPNnoQatar #ad @MotorolaBR  https://t.co/NBi2JW43SO",espnbrasil,qatar,
374,E esse torcedor do Irã todo emocionado? 🥹🥹🥹  A Copa do Mundo é linda!!!  #UOLnaCopa2022  https://t.co/IcrgYSKszu,uolesporte,catar,
1,"Mauro Cezar Pereira, em Doha, Catar: Fla tentou Jesus. Sem ele, partiu atrás de Vitor Pereira e ignorou Dorival  https://t.co/co2y44aLwx",uolesporte,copa,
129,"FIIIIIIIIIIM DE JOGO! Em jogo morno, Costa Rica surpreende Japão e vence por 1 a 0.  Primeira finalização na Copa resultou em gol!   Grupo E agora tá emboladíssimo! ⚽️🏆  #lanceCOPA #CopaDoMundoFIFA #Qatar2022 #MostraTuaForça  https://t.co/QZrpvEaYSf",lancenet,copa,
277,Torcedor que invadiu campo durante Portugal x Uruguai tem visto cancelado e é banido dos jogos restantes da Copa    https://t.co/KHwQwNoInC   #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus,espnbrasil,copa,
474,Brasil e Portugal vencem? Os palpites dos colunistas para o 5º dia de Copa #FIFAWorldCup #Qatar2022  https://t.co/g0w4cFwnXW,uolesporte,catar,
302,"Quanto ganha o campeão da Copa? Fifa distribui R$ 2 bi em prêmios, veja #FIFAWorldCup #Qatar2022  https://t.co/3GNamWqb7S",uolesporte,catar,
138,"Torcida de Senegal 🇸🇳 presta homenagem a Bouba Diop, ex-camisa 19 que foi ídolo da seleção senegalesa e, entre outros, marcou o gol da histórica vitória sobre a França 🇫🇷 na Copa de 2002  Ele morreu nesta data, em 2020 #genacopa  https://t.co/9w7oDdPf2L",geglobo,copa,
15,"Que dia de Copa do Mundo, senhoras e senhores!  Como ficam os jogos agora? 🙃🙃🙃  @ArnaldoJRibeiro @ultrajano  #UOLNaCopa2022  https://t.co/8OgmhiDMZS",uolesporte,catar,
16,"“O Oriente Médio não é um bloco só. O Catar é semelhante aos outros, mas destoa no tratamento das turistas. Vi mulheres na rua com roupas mais curtas e decotadas, proibidas na Arábia Saudita, por exemplo. Outras de vestido em festas em hotéis, onde bebida alcoólica é liberada. 🧵  https://t.co/sJMvn9vqp2",uolesporte,copa,
215,PROBLEMAS PARA A INGLATERRA? 🏴󠁧󠁢󠁥󠁮󠁧󠁿  Kane passará por exames de imagem no tornozelo direito após susto em estreia da Inglaterra no Qatar   https://t.co/qHeY3x02ER   #FutebolNaESPN #ESPNnoQatar,espnbrasil,qatar,
191,"Demétrio Vecchioli: Os países da Copa que são um fracasso nas Olimpíadas, e vice-versa  https://t.co/xHTEIv2I1z",uolesporte,catar,
185,NEYMAR FORA DA COPA? 🤔🇧🇷  Entenda lesão no tornozelo e tempo médio de recuperação.   Veja:  https://t.co/t0i7O6wgAf  https://t.co/KjIF8Tl5f7,lancenet,copa,
465,A EMPOLGAÇÃO DO MÉXICO SOBROU ATÉ PRA @ngedra 😂😂  Mexicanos 'tomam conta' de entrada de Natalie Gedra e zoam Messi: 'O mais perto que vai chegar da Copa'   #SCPlus #ESPNnoQatar #FutebolNaESPN    https://t.co/tQd7oCsGIj,espnbrasil,copa,
238,"Goleiro do Chelsea 'caça borboleta', e Holanda vence Senegal em estreia na Copa do Mundo do Qatar   #ESPNnoQatar #FutebolNaESPN    https://t.co/pDdcRz4hKY",espnbrasil,qatar,
210,Lateral saudita faz segunda cirurgia após choque assustador na Copa #FIFAWorldCup #Qatar2022  https://t.co/lTfv8upSjY,uolesporte,catar,
319,"QUE PASSE!🏀🤝⚽️  'LeBron James do futebol', web brinca com 'apelido' de Pulisic após assistência na Copa  https://t.co/5nOIdCB1lG  📸: Neil Hall/EFE/EPA  https://t.co/twbMvt8KcV",lancenet,copa,
109,"Reserva da Espanha, Morata chega à vice-artilharia da Copa do Mundo do Qatar: 'Sou um soldado do Luis Enrique'   #ESPNnoQatar #FutebolNaESPN #ESPNnoStarPlus     https://t.co/OdmAI7H8lJ",espnbrasil,qatar,
123,"FIM DO PRIMEIRO TEMPO 🇺🇸1⃣x0⃣🇮🇷  Com gol de Pulisic, Estados Unidos vai vencendo e garantindo vaga nas oitavas da Copa do Mundo. Por enquanto vai encarando a Holanda na próxima fase. Mas temos o segundo tempo inteiro pela frente!  #UOLNaCopa2022  https://t.co/J6TCBnVZ2A",uolesporte,catar,
229,"Após pegar pênalti, Courtois analisa estreia da Bélgica na Copa do Mundo: 'Não existe jogo fácil'  https://t.co/6cuYydDjk6",lancenet,copa,
139,"Marcel Rizzo: Copa: campanha do Qatar mostra que dinheiro faz estádio, não um bom time  https://t.co/u84xuXednP",uolesporte,catar,
316,"Os hermanos vão ter que aguentar 🤣🤣🤣  Salem Al-Dawsar, herói da Arábia Saudita, substituiu Lionel Messi na campanha publicitária que viralizou antes da Copa do Mundo #genacopa  https://t.co/UAKrTT9xQ3",geglobo,copa,
268,"Com gol e assistência, Messi é eleito melhor da partida em vitória na Copa #FIFAWorldCup #Qatar2022  https://t.co/RO0gH1NNjU",uolesporte,catar,
57,"'A seleção de Portugal vai estar na Copa do Mundo do Catar', afirma Fernando Santos  #FutebolNaESPN    https://t.co/3F43SxWI65",espnbrasil,catar,
212,JOGA UM ENTRETENIMENTO NOS PEITOS DO TEU PAI! ⚽😂  Diogo Defante é uma atração à parte na Copa do Mundo.  📲 Confira:  https://t.co/pvmrwQIcg5  https://t.co/bvYPHg5nga,lancenet,copa,
281,"VINI JR OU NEYMAR?🏆🔥🇧🇷  Quem é o principal nome da Seleção Brasileira nessa Copa do Mundo para você, torcedor? Briga boa, hein! 🤔🇧🇷  #primeirolance #neymar #vinijr #seleçãobrasileira #craque  https://t.co/Dda3ZjV0DC",lancenet,copa,
147,"🍺 ÁLCOOL NO QATAR  O nosso colunista @juliogomesfilho foi visitar um centro de distribuição de bebida alcoólica lá no Qatar e mostrou os detalhes do mercado, que também vende carne de porco e conta com uma segurança reforçada.   #Qatar2022 #CopaDoMundo #UOLNaCopa2022  https://t.co/iaY9JrMDEA",uolesporte,qatar,
103,"NEYMAR NO ESTÁDIO?!  Neymar fake aparece em Brasil x Suíça, 'engana' e é tietado por torcedores na arquibancada de estádio no Qatar   #FutebolNaESPN #ESPNnoQatar    https://t.co/fKvcxvTcsT",espnbrasil,qatar,
86,"A BOLA DA VEZ!  Portugueses no Qatar reagem sobre polêmica envolvendo Vítor Pereira, Flamengo e Corinthians: 'Não teria paz'; VEJA  #ESPNnoQatar #ESPNnoStarPlus    https://t.co/7W3zlBAGRE",espnbrasil,qatar,
4,"Mauro Cezar Pereira, em Doha, Catar: Tite e sua turma não mudaram nada: 'Rec 5' é nova verborragia em plena Copa  https://t.co/YUO72SN1PN",uolesporte,copa,
413,Coincidência? CR7 comemora gol na Copa em frente à faixa para Messi #FIFAWorldCup #Qatar2022  https://t.co/kLaZxKQ4h6,uolesporte,catar,
230,Jornal: Time de Beckham encaminha acordo para contratar Messi após a Copa  https://t.co/vymch3H20w,uolesporte,catar,
167,O ge transmite todos os jogos da Copa ao vivo e de graça.  📺 Assista:  https://t.co/LshnR9H8MI,geglobo,copa,
466,Medina manda recado ao amigo Neymar um dia antes de estreia na Copa; veja #FIFAWorldCup #Qatar2022  https://t.co/TcYMEypzwd,uolesporte,catar,
19,"""Estes números permitem que a torcida brasileira possa almejar um desempenho honroso no Catar""   OPINIÃO| A campanha da seleção de Tite nas eliminatórias permite sonhar grande  LEIA MAIS no Blog do Simon #FutebolNaESPN   https://t.co/pu0I7l0IT3  https://t.co/8cjmRVhkQA",espnbrasil,catar,
350,Fifa abre processo disciplinar contra a Alemanha por fato inusitado ocorrido durante coletiva de imprensa na Copa e deve aplicar multa   #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus   https://t.co/e9f4MahuW4,espnbrasil,copa,
102,O México só precisa de mais um golziiiinho para avançar às oitavas de final da Copa do Mundo. Será que vai dar? 👀  🇸🇦 0 x 2 🇲🇽: Assista ao vivo e de graça no ge! #genacopa  https://t.co/TccKY1IHN6,geglobo,copa,
360,Lesão no tornozelo deve tirar Danilo da primeira fase da Copa do Mundo #FIFAWorldCup #Qatar2022  https://t.co/jwC0xqec9N,uolesporte,catar,
439,Wilton Sampaio segue firme na Copa e prova que merece mais oportunidades  LEIA MAIS no blog do @simonapito:  #FutebolNaESPN #ESPNnoQatar   https://t.co/pSalOumO9o,espnbrasil,copa,
1,Pelé recebe homenagem gigante em prédio no Qatar: 'Que melhore logo!'   #FutebolNaESPN #ESPNnoQatar    https://t.co/ZpO7IINaBb,espnbrasil,qatar,
5,"Mauro Cezar Pereira, em Doha, Catar: Copa começa com anfitrião fraco, estádio 'elástico' e torcida que sai cedo  https://t.co/EYJaZYa48b",uolesporte,copa,
306,"🇵🇹✅  Dois jogos, duas vitórias! Portugal vai adiante na Copa do Mundo!   #ESPNnoQatar  https://t.co/QtOOaL8X7R",espnbrasil,copa,
42,Diogo Costa supera susto da estreia e evidencia união no vestiário de Portugal na Copa  https://t.co/m7TcknsScv,lancenet,copa,
234,A Copa sob os olhos dos anfitriões: ESPN vai a acampamento no deserto e assiste abertura com família do Qatar  #ESPNnoQatar #SCBrasil #ESPNnoStarPlus    https://t.co/G00v2WRpsg,espnbrasil,qatar,
