,tweet,username,palavra_chave,classificação
484,ROLA A BOLA PRA 🇧🇪x🇨🇦  Tá valendo! O juiz autoriza e o último jogo de Copa do dia já tá rolando ⚽️,uolesporte,catar,
4,Entenda a confusão na seleção da Bélgica na Copa do Mundo  📲 https://t.co/ABN0fEcJb3  📷JACK GUEZ / AFP  https://t.co/9wERWZEz1l,lancenet,copa,
238,Copa do Mundo: Gavi marca em goleada da Espanha e três quebras recordes históricos  https://t.co/6RUcQIiwAC,lancenet,copa,
264,"CALOR? NADA DISSO! 🥶🥶  Ar condicionado funciona como prometido, e público passa até frio na abertura da Copa do Qatar    #ESPNnoQatar #FutebolNaESPN #ESPNnoStarPlus     https://t.co/NjI7uYQqke",espnbrasil,qatar,
46,JOGOU MUITO!🇧🇷⭐️  Seleção: Vini Jr faz do Qatar o quintal de casa e mostra personalidade em vitória  https://t.co/Zai8AWfe42  📷 ANDREJ ISAKOVIC / AFP  https://t.co/fLipW7M5W2,lancenet,qatar,
296,Argentina pode ser eliminada hoje da Copa do Mundo? Veja as possibilidades #FIFAWorldCup #Qatar2022  https://t.co/P0ELgyDW88,uolesporte,catar,
242,De tenista profissional a 'vovô das Copas': argentinos fazem festa e provocam Brasil no Qatar antes da estreia    #FutebolNaESPN #ESPNnoQatar   https://t.co/QqV33UKAVM,espnbrasil,qatar,
120,"Copa do Mundo é coisa séria, amigo! ⚽  #copadomundo #qatar2022  https://t.co/xgcnIureRR",lancenet,copa,
12,Muller desabafa após eliminação da Alemanha na Copa: 'desastre absoluto' #FIFAWorldCup #Qatar2022  https://t.co/wDipGr5z7G,uolesporte,catar,
183,Leia no blog de @simonapito   Entenda a regra dos cartões amarelos na Copa do Mundo  #ESPNnoQatar #FutebolNaESPN   https://t.co/aMuVwtrc26  https://t.co/3gWLeiTPjZ,espnbrasil,copa,
486,Daqui a pouco o Canadá volta pra Copa contra a Bélgica depois de décadas. Enquanto isso tem tetracampeã mundial vendo tudo do sofá... 🇮🇹😅  #UOLNaCopa2022  https://t.co/JOPpIGlsBQ,uolesporte,catar,
77,Entenda os cenários para a Bélgica conseguir a classificação para as oitavas de final da Copa do Mundo  https://t.co/GJK7VqvLLD,lancenet,copa,
63,"SÓ JOGÃO! ⚽🏆  Começou a Copa do Mundo, meu amigo... Se liga nos jogaços que vão rolar hoje. É dia para ficar em frente a TV. 👀  Qual o melhor confronto de hoje? 🔥  #copadomundo #qatar #fasedegrupos #jogosdehoje  https://t.co/V6ZK3fzA9p",lancenet,qatar,
425,"'Não existe preparação para estrear em Copa do Mundo', analisa Casagrande #FIFAWorldCup #Qatar2022  https://t.co/SHA6Groxfk",uolesporte,catar,
248,"Vitória do Equador, cerimônia de abertura e mais: as melhores imagens do primeiro dia de Copa do Mundo do Qatar  #FutebolNaESPN #ESPNnoQatar   https://t.co/S5JlJSaoV6",espnbrasil,qatar,
106,Nuno Mendes pode ser desfalque para Portugal para o restante da Copa  O lateral deixou o campo chorando na vitória sobre o Uruguai por conta de uma contratura na coxa e não treinou com o elenco nesta quarta #genacopa  https://t.co/06BetpETGu,geglobo,copa,
377,Gündogan coloca ponto final em manifestações políticas da Alemanha na Copa do Mundo: 'Agora é só futebol e festa'    https://t.co/rA8hTJxpCw   #FutebolNaESPN #ESPNnoQatar #ESPNnoStarPlus,espnbrasil,copa,
3,"Até 2026, Ochoa! 🇲🇽👋  📸: AFP  #Lancecopa #Qatar #copadomundo  https://t.co/yr0vGHXQd5",lancenet,qatar,
264,💰💰💰  Veja quanto recebem os árbitros por cada jogo na Copa  https://t.co/52Eur8680I,geglobo,copa,
