id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1598466980570226688,1598466980570226688,2022-12-02 00:00:00 UTC,2022-12-02,00:00:00,+0000,14595245,uolesporte,UOL Esporte,,"🗣️TÁ CARO?   Sexo casual ou fora do casamento é ilegal no Qatar - e o preço das camisinhas é bem mais caro por lá.  Nosso repórter @adrianowilkson apurou que um pacote de camisinhas custa R$184, aproximadamente R$9,15 por unidade.   E aí, o que achou dos preços?  #UOLNaCopa2022  https://t.co/Qj7v1QuFcj",pt,"[{'screen_name': 'adrianowilkson', 'name': 'adriano wilkson', 'id': '30822607'}]",[],[],1,1,6,['uolnacopa2022'],[],https://twitter.com/UOLEsporte/status/1598466980570226688,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1598462453846839296/pu/img/ZB_4p92f6_Xqyf6c.jpg,,,,,,,[],,,,
1598460155729002502,1598460155729002502,2022-12-01 23:32:53 UTC,2022-12-01,23:32:53,+0000,14595245,uolesporte,UOL Esporte,,"🧹 LIMPEZA  Depois da festa na vitória do Japão contra a Espanha, os torcedores japoneses limparam a arquibancada do Estádio Internacional Khalifa, em Doha, no Qatar.   🎥 @GarciaDiegol   #UOLNaCopa2022 #UOLEsporte #Qatar2022 #Japão #Espanha  https://t.co/2dPxiAV3D5",pt,"[{'screen_name': 'garciadiegol', 'name': 'diego garcia', 'id': '3330513003'}]",[],[],0,5,38,"['uolnacopa2022', 'uolesporte', 'qatar2022', 'japão', 'espanha']",[],https://twitter.com/UOLEsporte/status/1598460155729002502,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1598459897372446722/pu/img/UcKOrACKvXY1T3Vr.jpg,,,,,,,[],,,,
1598455755354636289,1598455755354636289,2022-12-01 23:15:24 UTC,2022-12-01,23:15:24,+0000,14595245,uolesporte,UOL Esporte,,Carrascos do Brasil nas duas últimas Copas caem na primeira fase no Qatar #FIFAWorldCup #Qatar2022  https://t.co/6lYHoyZRyd,pt,[],['https://uol.page.link/M8omB'],[],3,1,17,"['fifaworldcup', 'qatar2022']",[],https://twitter.com/UOLEsporte/status/1598455755354636289,False,,0,,,,,,,,[],,,,
1598453500429717514,1598453500429717514,2022-12-01 23:06:26 UTC,2022-12-01,23:06:26,+0000,14595245,uolesporte,UOL Esporte,,Pelé fala em 'visita mensal' ao hospital e agradece Qatar por mensagem  https://t.co/4plLgWlDbT,pt,[],['https://uol.page.link/srQSy'],[],0,3,22,[],[],https://twitter.com/UOLEsporte/status/1598453500429717514,False,,0,,,,,,,,[],,,,
1598426004611014660,1598426004611014660,2022-12-01 21:17:11 UTC,2022-12-01,21:17:11,+0000,14595245,uolesporte,UOL Esporte,,"""O Japão, senhoras e senhoras, é a Alemanha na Copa do Qatar""  Essa classificação 🥲🤗  @BlogdoJuca  #UOLNaCopa2022  https://t.co/Cxtokchgs8",pt,"[{'screen_name': 'blogdojuca', 'name': 'juca kfouri', 'id': '78684416'}]",[],['https://pbs.twimg.com/media/Fi6_h7-WIAEPgQ0.jpg'],0,1,20,['uolnacopa2022'],[],https://twitter.com/UOLEsporte/status/1598426004611014660,False,,1,https://pbs.twimg.com/media/Fi6_h7-WIAEPgQ0.jpg,,,,,,,[],,,,
1598420801262329875,1598420801262329875,2022-12-01 20:56:30 UTC,2022-12-01,20:56:30,+0000,14595245,uolesporte,UOL Esporte,,Juca Kfouri: A noite mais maluca da Copa no Qatar: o Japão é a Alemanha!  https://t.co/HGXc907Y47,pt,[],['https://www.uol.com.br/esporte/colunas/juca-kfouri/2022/12/01/costa-rica-vive-uma-noite-de-brasil.htm?utm_source=twitter&utm_medium=social-media&utm_content=geral&utm_campaign=esporte'],[],0,1,18,[],[],https://twitter.com/UOLEsporte/status/1598420801262329875,False,,0,,,,,,,,[],,,,
1598382955281481730,1598382955281481730,2022-12-01 18:26:07 UTC,2022-12-01,18:26:07,+0000,14595245,uolesporte,UOL Esporte,,Gol de número 100 é também o primeiro contra da Copa do Mundo do Qatar #FIFAWorldCup #Qatar2022  https://t.co/lW35PDZmwE,pt,[],['https://uol.page.link/HE48M'],[],0,0,12,"['fifaworldcup', 'qatar2022']",[],https://twitter.com/UOLEsporte/status/1598382955281481730,False,,0,,,,,,,,[],,,,
1598382326823755776,1598382326823755776,2022-12-01 18:23:37 UTC,2022-12-01,18:23:37,+0000,14595245,uolesporte,UOL Esporte,,Sósia de Neymar arrasta multidão e faz loja ser fechada no Qatar; assista #FIFAWorldCup #Qatar2022  https://t.co/A23ZAKfBov,pt,[],['https://uol.page.link/LW7Py'],[],1,0,9,"['fifaworldcup', 'qatar2022']",[],https://twitter.com/UOLEsporte/status/1598382326823755776,False,,0,,,,,,,,[],,,,
1598363813593612288,1598363813593612288,2022-12-01 17:10:03 UTC,2022-12-01,17:10:03,+0000,14595245,uolesporte,UOL Esporte,,Jornalista do UOL se machuca no Qatar e recusa ambulância para ver seleção #FIFAWorldCup #Qatar2022  https://t.co/knhm1Vomx1,pt,[],['https://uol.page.link/PytQY'],[],0,0,5,"['fifaworldcup', 'qatar2022']",[],https://twitter.com/UOLEsporte/status/1598363813593612288,False,,0,,,,,,,,[],,,,
1598361326082031616,1598361326082031616,2022-12-01 17:00:10 UTC,2022-12-01,17:00:10,+0000,14595245,uolesporte,UOL Esporte,,Rodrigo Coutinho: O deprimente último suspiro belga no Qatar  https://t.co/pyDEyv3uQc,pt,[],['https://www.uol.com.br/esporte/colunas/rodrigo-coutinho/2022/12/01/analise-croacia-x-belgica.htm?utm_source=twitter&utm_medium=social-media&utm_content=geral&utm_campaign=esporte'],[],0,0,6,[],[],https://twitter.com/UOLEsporte/status/1598361326082031616,False,,0,,,,,,,,[],,,,
